,Country,Fulfill Via,Shipment Mode,Sub Classification,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
0,Côte d'Ivoire,Direct Drop,Air,HIV test,30,19,551.0,29.0,0.97,Yes,13.0,780.34,67.98
1,Vietnam,Direct Drop,Air,Pediatric,240,1000,6200.0,6.2,0.03,Yes,358.0,4521.5,67.98
2,Côte d'Ivoire,Direct Drop,Air,HIV test,100,500,40000.0,80.0,0.8,Yes,171.0,1653.78,67.98
3,Vietnam,Direct Drop,Air,Adult,60,31920,127360.8,3.99,0.07,Yes,1855.0,16007.06,67.98
4,Vietnam,Direct Drop,Air,Adult,60,38000,121600.0,3.2,0.05,Yes,7590.0,45450.08,67.98
5,Nigeria,Direct Drop,Air,Pediatric,240,416,2225.6,5.35,0.02,Yes,504.0,5920.42,67.98
7,Tanzania,Direct Drop,Air,Adult,60,16667,60834.55,3.65,0.06,Yes,1478.0,6212.41,67.98
11,Zambia,Direct Drop,Air,HIV test,20,2500,100000.0,40.0,2.0,Yes,853.0,13569.49,67.98
13,Rwanda,Direct Drop,Air,Adult,60,10000,99800.0,9.98,0.17,Yes,7416.0,64179.42,67.98
14,Haiti,Direct Drop,Air,HIV test,100,750,60000.0,80.0,0.8,Yes,256.0,1760.32,67.98
17,Rwanda,Direct Drop,Air,HIV test,30,2000,33000.0,16.5,0.55,Yes,710.0,3120.7,67.98
18,Tanzania,Direct Drop,Air,Pediatric,200,712,8964.08,12.59,0.06,Yes,162.0,912.96,67.98
19,Nigeria,Direct Drop,Air,HIV test,100,1000,80000.0,80.0,0.8,Yes,341.0,2682.47,128.0
20,Nigeria,Direct Drop,Air,HIV test,20,7500,202500.0,27.0,1.35,Yes,2278.0,15893.71,67.98
22,Vietnam,Direct Drop,Air,Pediatric,240,1000,1920.0,1.92,0.01,Yes,941.0,4193.49,3.07
23,Vietnam,Direct Drop,Air,Adult,120,500,41095.0,82.19,0.68,Yes,117.0,1767.38,65.75
24,Haiti,Direct Drop,Air,HIV test,100,750,53992.5,71.99,0.72,Yes,171.0,3518.38,86.39
25,Haiti,Direct Drop,Air,HIV test,100,25,8750.0,350.0,3.5,Yes,60.0,3097.85,14.0
26,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3335.0,27869.74,320.0
27,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3335.0,28461.1,320.0
28,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3335.0,28359.8,320.0
29,Ethiopia,Direct Drop,Air,Adult,60,64000,99200.0,1.55,0.03,Yes,4228.0,12237.61,158.72
30,Nigeria,Direct Drop,Air,HIV test,20,10000,270000.0,27.0,1.35,Yes,3263.0,20885.78,432.0
32,Vietnam,Direct Drop,Air,Adult,30,1000,17000.0,17.0,0.57,Yes,76.0,2282.57,27.2
33,Vietnam,Direct Drop,Air,Adult,60,400,3352.0,8.38,0.14,Yes,23.0,2149.05,5.36
34,Rwanda,Direct Drop,Air,HIV test - Ancillary,100,1500,15.0,0.01,0.0,Yes,99.0,0.75,0.02
38,Côte d'Ivoire,Direct Drop,Air,HIV test,40,476,36176.0,76.0,1.9,Yes,509.0,5446.51,57.88
39,Côte d'Ivoire,Direct Drop,Air,HIV test,25,659,13180.0,20.0,0.8,Yes,206.0,2656.12,25.83
41,Guyana,Direct Drop,Air,HIV test - Ancillary,100,213,2.13,0.01,0.0,Yes,14.0,360.0,0.0
43,Zimbabwe,Direct Drop,Air,HIV test,100,1634,117631.66,71.99,0.72,Yes,373.0,4112.46,188.21
44,Nigeria,Direct Drop,Air,HIV test,20,1425,38475.0,27.0,1.35,Yes,483.0,5468.88,61.56
45,Namibia,Direct Drop,Air,HIV test,100,142,10222.58,71.99,0.72,Yes,33.0,1715.17,16.36
46,Vietnam,Direct Drop,Air,Adult,30,8400,96432.0,11.48,0.38,Yes,654.0,4051.34,154.29
49,Vietnam,Direct Drop,Air,Pediatric,60,400,2800.0,7.0,0.12,Yes,81.0,2211.05,4.48
51,Nigeria,Direct Drop,Air,HIV test,100,5498,439785.02,79.99,0.8,Yes,1251.0,16090.22,703.66
54,Vietnam,Direct Drop,Air,Adult,30,1344,18359.04,13.66,0.46,Yes,1537.0,13507.92,29.37
58,Tanzania,Direct Drop,Air,Adult,30,2597,61470.99,23.67,0.79,Yes,117.0,645.1,98.35
59,Haiti,Direct Drop,Air,HIV test,100,28,9800.0,350.0,3.5,Yes,109.0,782.13,15.68
60,Haiti,Direct Drop,Air,HIV test,100,84,11676.0,139.0,1.39,Yes,54.0,871.57,22.88
62,Vietnam,Direct Drop,Air,Adult,60,38640,92736.0,2.4,0.04,Yes,2719.0,18614.72,148.38
63,Nigeria,Direct Drop,Air,ACT,540,34,1547.68,45.52,0.08,Yes,115.0,1755.87,2.48
64,Vietnam,Direct Drop,Air,Adult,60,42000,60900.0,1.45,0.02,Yes,2600.0,10179.16,97.44
66,Vietnam,Direct Drop,Air,Adult,30,16800,171192.0,10.19,0.34,Yes,1224.0,4686.88,335.54
67,Guyana,Direct Drop,Air,Malaria,25,98,3675.0,37.5,1.5,Yes,34.0,180.0,5.88
68,Zambia,Direct Drop,Air,HIV test,100,4500,323955.0,71.99,0.72,Yes,1053.0,11062.05,634.95
70,Côte d'Ivoire,Direct Drop,Air,HIV test,40,500,38000.0,76.0,1.9,Yes,562.0,11298.13,60.8
71,Côte d'Ivoire,Direct Drop,Air,ACT,12,25000,9750.0,0.39,0.03,Yes,1708.0,12830.91,19.11
73,Namibia,Direct Drop,Air,HIV test,100,150,10798.5,71.99,0.72,Yes,46.0,2698.04,21.17
74,Botswana,Direct Drop,Air,HIV test - Ancillary,2,15,450.0,30.0,15.0,Yes,1.0,578.01,0.88
75,Zambia,Direct Drop,Air,HIV test,25,319,6380.0,20.0,0.8,Yes,100.0,1122.24,12.5
82,Tanzania,Direct Drop,Air,Adult,30,50000,2520000.0,50.4,1.68,Yes,4093.0,9339.0,4939.2
83,Côte d'Ivoire,Direct Drop,Air,Malaria,100,140,2731.4,19.51,0.2,Yes,5209.0,25405.22,5.35
84,Mozambique,Direct Drop,Air,HIV test,20,5700,182400.0,32.0,1.6,Yes,1906.0,23914.8,357.5
85,Vietnam,Direct Drop,Air,Adult,60,5964,51350.04,8.61,0.14,Yes,3509.0,12835.2,100.65
87,Vietnam,Direct Drop,Air,Adult,60,10560,72864.0,6.9,0.12,Yes,924.0,4225.93,142.81
88,Vietnam,Direct Drop,Air,Adult,60,2352,20250.72,8.61,0.14,Yes,211.0,892.5,39.69
89,Tanzania,Direct Drop,Air,Pediatric,300,524,21536.4,41.1,0.14,Yes,644.0,6668.61,42.21
91,Rwanda,Direct Drop,Air,HIV test,30,8249,185602.5,22.5,0.75,Yes,2800.0,12595.81,363.78
92,Nigeria,Direct Drop,Air,Adult,30,200,4734.0,23.67,0.79,Yes,11.0,463.0,9.28
93,Haiti,Direct Drop,Air,Pediatric,60,80,760.0,9.5,0.16,Yes,43.0,260.0,1.49
95,Haiti,Direct Drop,Air,Pediatric,60,46,472.88,10.28,0.17,Yes,10.0,893.22,0.93
109,Botswana,Direct Drop,Air,HIV test,100,20,7000.0,350.0,3.5,Yes,48.0,1172.11,13.72
110,Côte d'Ivoire,Direct Drop,Air,Adult,120,10240,420864.0,41.1,0.34,Yes,2523.0,14806.48,824.89
111,Côte d'Ivoire,Direct Drop,Air,Adult,336,400,15344.0,38.36,0.11,Yes,175.0,7642.97,30.07
115,Haiti,Direct Drop,Air,HIV test,100,60,21000.0,350.0,3.5,Yes,144.0,3128.19,41.16
116,Kenya,Direct Drop,Air,HIV test,100,7500,600000.0,80.0,0.8,Yes,2215.0,16835.31,1176.0
117,Nigeria,Direct Drop,Air,HIV test,100,6395,511600.0,80.0,0.8,Yes,1915.0,24514.33,1002.74
118,Rwanda,Direct Drop,Air,Adult,30,55356,386384.88,6.98,0.23,Yes,4482.0,37404.74,757.31
119,Côte d'Ivoire,Direct Drop,Air,HIV test,40,1000,110000.0,110.0,2.75,Yes,1101.0,8074.03,215.6
120,Vietnam,Direct Drop,Air,Adult,336,8,613.76,76.72,0.23,Yes,48.0,3366.04,1.2
121,Vietnam,Direct Drop,Air,Adult,60,3500,39025.0,11.15,0.19,Yes,1804.0,6341.88,76.49
122,Botswana,Direct Drop,Air,HIV test,100,5,1750.0,350.0,3.5,Yes,12.0,684.42,3.43
123,Namibia,Direct Drop,Air,HIV test,25,67,5025.0,75.0,3.0,Yes,48.0,401.97,9.85
124,Vietnam,Direct Drop,Air,Pediatric,60,400,2800.0,7.0,0.12,Yes,148.0,14.36,5.49
125,Namibia,Direct Drop,Air,HIV test,20,220,7040.0,32.0,1.6,Yes,79.0,1736.18,13.8
129,Côte d'Ivoire,Direct Drop,Air,HIV test,40,147,11076.45,75.35,1.88,Yes,165.0,1816.57,67.98
130,Côte d'Ivoire,Direct Drop,Air,HIV test,100,6,2400.0,400.0,4.0,Yes,15.0,1039.5,67.98
131,Vietnam,Direct Drop,Air,Pediatric,60,2800,19600.0,7.0,0.12,Yes,555.0,3292.15,67.98
132,Haiti,Direct Drop,Air,HIV test,100,15,6000.0,400.0,4.0,Yes,36.0,1195.29,67.98
134,Nigeria,Direct Drop,Air,Adult,60,894,2994.9,3.35,0.06,Yes,479.0,4861.14,67.98
135,Vietnam,Direct Drop,Air,Adult,60,25100,276100.0,11.0,0.18,Yes,2575.0,18772.94,67.98
136,Vietnam,Direct Drop,Air,Adult,60,95500,144205.0,1.51,0.03,Yes,9170.0,42453.21,67.98
137,Guyana,Direct Drop,Air,HIV test,20,900,36000.0,40.0,2.0,Yes,316.0,4989.87,67.98
139,Vietnam,Direct Drop,Air,Adult,60,70000,525000.0,7.5,0.12,Yes,6813.0,31858.09,67.98
143,Vietnam,Direct Drop,Air,Adult,60,25000,187500.0,7.5,0.12,Yes,2348.0,21439.59,300.0
144,Nigeria,Direct Drop,Air,HIV test,40,375,28500.0,76.0,1.9,Yes,402.0,4445.75,67.98
145,Ethiopia,Direct Drop,Air,HIV test,100,4650,372000.0,80.0,0.8,Yes,1707.0,24859.45,67.98
147,Nigeria,Direct Drop,Air,HIV test,100,3500,280000.0,80.0,0.8,Yes,1194.0,5858.57,448.0
149,Vietnam,Direct Drop,Air,Pediatric,240,1000,1920.0,1.92,0.01,Yes,960.0,13762.41,3.07
152,Vietnam,Direct Drop,Air,Adult,60,3000,40500.0,13.5,0.22,Yes,332.0,4454.62,64.8
153,Vietnam,Direct Drop,Air,Adult,30,22500,277425.0,12.33,0.41,Yes,1955.0,16095.39,443.88
154,Vietnam,Direct Drop,Air,Adult,120,500,41095.0,82.19,0.68,Yes,117.0,1767.38,65.75
155,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3336.0,25165.3,320.0
156,Rwanda,Direct Drop,Air,Adult,30,1609,27353.0,17.0,0.57,Yes,157.0,7922.24,43.76
159,Vietnam,Direct Drop,Air,Adult,336,100,18333.0,183.33,0.55,Yes,337.0,2535.4,29.33
160,Nigeria,Direct Drop,Air,HIV test,20,10000,270000.0,27.0,1.35,Yes,3336.0,28002.75,432.0
161,Rwanda,Direct Drop,Air,Adult,60,1099,30222.5,27.5,0.46,Yes,113.0,1511.25,48.36
162,Vietnam,Direct Drop,Air,Adult,60,1200,2100.0,1.75,0.03,Yes,125.0,2429.85,3.36
164,Nigeria,Direct Drop,Air,HIV test,100,650,51993.5,79.99,0.8,Yes,148.0,2577.27,83.19
166,Botswana,Direct Drop,Air,HIV test,20,450,14400.0,32.0,1.6,Yes,154.0,2496.62,23.04
167,Nigeria,Direct Drop,Air,HIV test,20,10270,277290.0,27.0,1.35,Yes,2907.0,18864.37,443.66
168,Mozambique,Direct Drop,Air,HIV test,20,9000,288000.0,32.0,1.6,Yes,9000.0,55746.59,460.8
169,Zambia,Direct Drop,Air,HIV test,20,6040,193280.0,32.0,1.6,Yes,2052.0,24689.0,309.25
171,Côte d'Ivoire,Direct Drop,Air,HIV test,20,289,7803.0,27.0,1.35,Yes,79.0,1104.69,15.29
172,Mozambique,Direct Drop,Air,HIV test,100,3000,215970.0,71.99,0.72,Yes,682.0,5298.9,345.55
174,Côte d'Ivoire,Direct Drop,Air,HIV test,100,1116,78120.0,70.0,0.7,Yes,255.0,5175.72,124.99
175,Côte d'Ivoire,Direct Drop,Air,HIV test,100,1116,78120.0,70.0,0.7,Yes,256.0,7118.12,153.12
176,Guyana,Direct Drop,Air,HIV test,20,832,26624.0,32.0,1.6,Yes,832.0,3740.04,42.6
177,Guyana,Direct Drop,Air,HIV test,100,213,15333.87,71.99,0.72,Yes,49.0,959.46,24.53
178,Botswana,Direct Drop,Air,HIV test,100,10,3500.0,350.0,3.5,Yes,39.0,604.0,5.6
183,Vietnam,Direct Drop,Air,Adult,60,10080,29232.0,2.9,0.05,Yes,507.0,4159.45,46.77
184,Vietnam,Direct Drop,Air,Adult,30,6720,77145.6,11.48,0.38,Yes,522.0,3796.05,123.43
190,Vietnam,Direct Drop,Air,Pediatric,60,400,2800.0,7.0,0.12,Yes,81.0,3013.09,4.48
191,Vietnam,Direct Drop,Air,Adult,60,10780,15631.0,1.45,0.02,Yes,502.0,7575.6,25.01
196,Haiti,Direct Drop,Air,HIV test,100,1123,78610.0,70.0,0.7,Yes,257.0,2851.72,154.08
197,Rwanda,Direct Drop,Air,HIV test,100,340,47260.0,139.0,1.39,Yes,234.0,5446.06,75.62
